id,path,speakerId,transcription,action,object,location,llm_response
,,,Turn the screen on,activate,tv,none,The tv has been turned on.
,,,Switch on the television,activate,tv,none,The tv has been turned on.
,,,Start the screen,activate,tv,none,The tv has been turned on.
,,,"Let's watch something, turn on the TV",activate,tv,none,The tv has been turned on.
,,,Fire up the TV,activate,tv,none,The tv has been turned on.
,,,Switch the TV on,activate,tv,none,The tv has been turned on.
,,,TV on,activate,tv,none,The tv has been turned on.
,,,Turn on the TV,activate,tv,none,The tv has been turned on.
,,,Power up the television,activate,tv,none,The tv has been turned on.
,,,Enable the television,activate,tv,none,The tv has been turned on.
,,,Turn on the TV please,activate,tv,none,The tv has been turned on.
,,,Switch on the screen in the bedroom,activate,tv,bedroom,The tv has been turned on.
,,,Can you power on the TV?,activate,tv,none,The tv has been turned on.
,,,Let's get the living room screen on,activate,tv,none,The tv has been turned on.
,,,Enable the kitchen display,activate,tv,kitchen,The tv has been turned on.
,,,Could you start the bedroom television?,activate,tv,bedroom,The tv has been turned on.
,,,"I want to watch something, turn on the TV",activate,tv,none,The tv has been turned on.
,,,It's time to watch ? fire up the TV,activate,tv,none,The tv has been turned on.
,,,Start the washroom display now,activate,tv,washroom,The tv has been turned on.
,,,Please activate the screen,activate,tv,none,The tv has been turned on.
,,,Make the TV run,activate,tv,none,The tv has been turned on.
,,,Start playing on the television,activate,tv,none,The tv has been turned on.
,,,Can we switch on the display?,activate,tv,none,The tv has been turned on.
,,,Boot up the TV in the bedroom,activate,tv,bedroom,The tv has been turned on.
,,,Wake the kitchen screen,activate,tv,kitchen,The tv has been turned on.
,,,Let's turn on the washroom television,activate,tv,washroom,The tv has been turned on.
,,,Ready the screen in the kitchen,activate,tv,kitchen,The tv has been turned on.
,,,Spin up the TV please,activate,tv,none,The tv has been turned on.
,,,Engage the bedroom screen,activate,tv,bedroom,The tv has been turned on.
,,,Let's turn on the washroom TV,activate,tv,washroom,The tv has been turned on.
,,,I'd like the screen on now,activate,tv,none,The tv has been turned on.
,,,Please power on the television in the kitchen,activate,tv,kitchen,The tv has been turned on.
,,,Fire up the TV screen,activate,tv,none,The tv has been turned on.
,,,Initiate the washroom screen,activate,tv,washroom,The tv has been turned on.
,,,"Screen on, please",activate,tv,none,The tv has been turned on.
,,,Start the television now,activate,tv,none,The tv has been turned on.
,,,Could you turn on the bedroom TV?,activate,tv,bedroom,The tv has been turned on.
,,,Begin the kitchen display,activate,tv,kitchen,The tv has been turned on.
,,,Let's go ahead and turn on the TV,activate,tv,none,The tv has been turned on.
,,,"Screen, activate!",activate,tv,none,The tv has been turned on.
,,,"Display, start now",activate,tv,none,The tv has been turned on.
,,,TV mode on,activate,tv,none,The tv has been turned on.
,,,I need the TV on,activate,tv,none,The tv has been turned on.
,,,Time to turn on the screen,activate,tv,none,The tv has been turned on.
,,,Push power on the kitchen television,activate,tv,kitchen,The tv has been turned on.
,,,Display on in the bedroom,activate,tv,bedroom,The tv has been turned on.
,,,Can you switch on the washroom TV?,activate,tv,washroom,The tv has been turned on.
,,,Bring up the TV now,activate,tv,none,The tv has been turned on.
,,,Turn the TV display on please,activate,tv,none,The tv has been turned on.
,,,Activate the washroom lights,activate,lights,washroom,The washroom lights have been activated.
,,,Bathroom lights on,activate,lights,washroom,The bathroom lights are now on.
,,,Bedroom lights on,activate,lights,bedroom,Bedroom lights have been turned on.
,,,Bring up the lights in the washroom,activate,lights,washroom,The washroom lights are now on.
